country,target,par,mean,hpd_l,hpd_r,non_trivial,gni,median_age
CPV,impact,bxm_resist_h3,-3.3816935142892213,-9.799942519973785,3.5417820895104555,0,4780.0,27.3
CRI,impact,bxm_resist_h3,-7.025114764523046,-13.157889016548657,-0.013500588531147883,1,14260.0,33.5
CUB,impact,bxm_resist_h3,-6.99397753228623,-13.344004276292223,-0.03655692581010328,1,,41.5
CYP,impact,bxm_resist_h3,-2.78484545532676,-9.282089336364962,4.051385062982998,0,32960.0,37.3
CZE,impact,bxm_resist_h3,-6.709171805177796,-13.059286139342177,0.17627193506439554,0,27370.0,42.6
DEU,impact,bxm_resist_h3,-7.717988068618428,-14.007093260526394,-0.8788153672141412,1,54800.0,45.0
DJI,impact,bxm_resist_h3,-8.713531869292186,-15.280087484230183,-1.870295540241635,1,3400.0,24.1
DNK,impact,bxm_resist_h3,-7.463962824429114,-14.027480986782804,-0.731668480757758,1,73340.0,41.2
DOM,impact,bxm_resist_h3,-7.131931872152766,-13.40806080939406,-0.14388383158260964,1,9710.0,27.3
DZA,impact,bxm_resist_h3,-8.969095456503123,-15.35406792291342,-2.149642615159582,1,4950.0,28.0
ECU,impact,bxm_resist_h3,-7.834789865810691,-14.26907138758358,-0.9677935048542494,1,6590.0,28.0
EGY,impact,bxm_resist_h3,-9.35543789331787,-15.862689965658694,-2.5096582565200123,1,3840.0,23.8
ERI,impact,bxm_resist_h3,-6.431599968635446,-13.054527314193123,0.3444586450276077,0,,18.4
ESP,impact,bxm_resist_h3,-7.945474703089417,-14.4941960916318,-1.228837381507482,1,32830.0,44.4
EST,impact,bxm_resist_h3,-2.527723959848064,-8.948192498633423,4.306968355633121,0,27620.0,41.6
ETH,impact,bxm_resist_h3,-8.970919691951494,-15.490585311803075,-2.1532122151924113,1,1110.0,18.5
FIN,impact,bxm_resist_h3,-8.197020466176845,-14.7441148035591,-1.3548458206308815,1,53230.0,42.5
FJI,impact,bxm_resist_h3,-2.706474328130753,-9.28172690170451,4.070811145748348,0,5680.0,27.5
FRA,impact,bxm_resist_h3,-8.192344356507721,-14.482883217924874,-1.0507325903106022,1,45180.0,41.6
GAB,impact,bxm_resist_h3,-6.284111800827198,-12.628799904620603,0.584621338087782,0,7930.0,21.5
GBR,impact,bxm_resist_h3,-8.211963902822085,-14.597372964904112,-1.255792019548366,1,47700.0,39.5
GEO,impact,bxm_resist_h3,-8.12890891700427,-14.573541287224392,-1.3283230147080367,1,6710.0,36.6
GHA,impact,bxm_resist_h3,-8.249442898557582,-14.467601303313414,-1.107982185216791,1,2360.0,20.7
GIN,impact,bxm_resist_h3,-8.229398803668634,-14.571635883963932,-1.1824687144516375,1,1350.0,17.8
GMB,impact,bxm_resist_h3,-7.429620982768807,-13.853640563829845,-0.5700746504493956,1,870.0,18.0
GNB,impact,bxm_resist_h3,-6.586787789091829,-13.102620378736052,0.18528540801031568,0,940.0,18.7
GNQ,impact,bxm_resist_h3,-6.642756525302573,-13.107910765136614,0.10762510746532072,0,4840.0,21.0
GRC,impact,bxm_resist_h3,-7.970733911882341,-14.581269469156934,-1.2305800103474631,1,22590.0,45.4
GTM,impact,bxm_resist_h3,-7.985326809365699,-14.201782989392,-0.8110480759214482,1,5480.0,22.2
GUY,impact,bxm_resist_h3,-2.499188410316293,-9.026025656805356,4.4379071773806515,0,13600.0,25.3
HKG,impact,bxm_resist_h3,-9.158364420942355,-15.496316823219557,-2.124336321305229,1,55170.0,45.6
HND,impact,bxm_resist_h3,-7.440421668714798,-13.766726959643597,-0.49245632029589004,1,2890.0,23.2
